trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
624,False,"{'a': 0.5, 'e': 0.04437850714748865}",25,13,15.561447640626142,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.5, 'e': 0.04415716841969286}",25,2,21.725592281423474,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
626,False,"{'a': 0.5, 'e': 0.04393693362340742}",20,14,14.157878189627219,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.5, 'e': 0.04371779725275094}",20,12,16.47978155746777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.5, 'e': 0.04349975382930273}",25,14,-23.57988598244126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
629,False,"{'a': 0.5, 'e': 0.043282797901965896}",25,12,17.723002000928446,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.5, 'e': 0.04306692404683092}",20,7,21.767793840037204,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.5, 'e': 0.04285212686704019}",30,7,41.0763121616409,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.5, 'e': 0.04263840099265299}",20,8,21.91348732712911,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.5, 'e': 0.042425741080511385}",25,13,-29.38694638940278,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
634,False,"{'a': 0.5, 'e': 0.042214141814106466}",30,18,24.152789309372217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.5, 'e': 0.04200359790344555}",25,13,22.13910993267401,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.5, 'e': 0.041794104084919896}",35,20,14.611910716437364,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
637,False,"{'a': 0.5, 'e': 0.04158565512117316}",20,10,16.807922542738314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.5, 'e': 0.04137824580097038}",20,10,16.80518644672418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.5, 'e': 0.04117187093906774}",25,17,12.159026889843442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.5, 'e': 0.040966525376082925}",25,8,18.838240830200437,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
641,False,"{'a': 0.5, 'e': 0.04076220397836621}",20,8,20.292773869325202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.5, 'e': 0.040558901637871986}",20,0,33.40132671605843,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
643,False,"{'a': 0.5, 'e': 0.04035661327203115}",20,4,5.499692834903949,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
644,False,"{'a': 0.5, 'e': 0.040155333823624025}",20,11,15.587454385310535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.5, 'e': 0.039955058260653896}",20,9,19.286918666737204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.5, 'e': 0.039755781576221304}",20,5,23.300239796352315,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.5, 'e': 0.039557498788398725}",20,10,9.46678118743196,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.5, 'e': 0.03936020494010615}",30,17,9.618600917347582,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
649,False,"{'a': 0.5, 'e': 0.039163895098987066}",20,15,10.791447788374931,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.5, 'e': 0.03896856435728526}",20,15,10.194263939748785,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.5, 'e': 0.03877420783172201}",20,9,20.525053585413758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.5, 'e': 0.03858082066337404}",20,8,-2.5110301056260016,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
653,False,"{'a': 0.5, 'e': 0.038388398017552054}",25,5,-12.014512791182625,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
654,False,"{'a': 0.5, 'e': 0.038196935083679925}",20,12,16.871773364540594,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.5, 'e': 0.038006427075174314}",20,15,9.359671702835668,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.5, 'e': 0.03781686922932508}",20,0,30.665966166815945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
657,False,"{'a': 0.5, 'e': 0.0376282568071762}",20,0,36.375603477199135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.5, 'e': 0.03744058509340732}",30,17,22.58792810965001,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.5, 'e': 0.03725384939621581}",20,14,9.320223785226954,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.5, 'e': 0.0370680450471995}",20,14,12.710241179650414,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.5, 'e': 0.036883167401239994}",35,21,26.23679798038361,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.5, 'e': 0.03669921183638653}",20,0,6.677349576485732,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
663,False,"{'a': 0.5, 'e': 0.0365161737537404}",25,11,25.42826505555253,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.5, 'e': 0.036334048577339996}",20,7,20.035802240787678,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
