trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,True,"{'a': 0.0, 'e': 0.0}",30,0,-49.25487436437146,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
25,True,"{'a': 0.0, 'e': 0.0}",20,0,-116.95573349074259,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,-119.46588102666115,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,4,-199.14407711534517,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 4}",1
28,True,"{'a': 0.0, 'e': 0.0}",25,0,-91.03574738956098,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
29,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.04535463648693,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
30,True,"{'a': 0.0, 'e': 0.0}",20,0,-73.39708536142663,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
31,True,"{'a': 0.0, 'e': 0.0}",25,0,-183.7047396833041,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,-100.03250804603208,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
33,True,"{'a': 0.0, 'e': 0.0}",25,0,-90.2150487990815,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
34,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.23259867801127,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
35,True,"{'a': 0.0, 'e': 0.0}",25,0,-170.46030443651836,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
36,True,"{'a': 0.0, 'e': 0.0}",25,0,-82.8826060871383,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
37,True,"{'a': 0.0, 'e': 0.0}",20,0,-92.22856637883697,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
38,True,"{'a': 0.0, 'e': 0.0}",20,0,-252.16657354730003,"{0: 6, 1: 2, 2: 7, 3: 1, 4: 4}",0
39,True,"{'a': 0.0, 'e': 0.0}",20,0,-114.34044658515013,"{0: 7, 1: 6, 2: 5, 3: 2, 4: 0}",0
40,True,"{'a': 0.0, 'e': 0.0}",25,0,-107.95916226449222,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
41,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.54361680034039,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
42,True,"{'a': 0.0, 'e': 0.0}",20,0,-49.6788319633308,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
43,True,"{'a': 0.0, 'e': 0.0}",25,0,-179.23621412633048,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
44,True,"{'a': 0.0, 'e': 0.0}",20,5,-78.41986574782116,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
45,True,"{'a': 0.0, 'e': 0.0}",25,0,-70.70621458517206,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
46,True,"{'a': 0.0, 'e': 0.0}",20,0,-117.87275511005795,"{0: 7, 1: 3, 2: 9, 3: 1, 4: 0}",0
47,True,"{'a': 0.0, 'e': 0.0}",20,0,-67.2398509331455,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
48,True,"{'a': 0.0, 'e': 0.0}",20,0,-89.4566712179908,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
49,True,"{'a': 0.0, 'e': 0.0}",25,8,-71.19392287468688,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
50,True,"{'a': 0.0, 'e': 0.0}",25,0,-231.96266747600552,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
